camera_id,lat,lon
1001,1.29531332,103.871146
1002,1.319541067,103.8785627
1003,1.323957439,103.8728576
1004,1.319535712,103.8750668
1005,1.363519886,103.905394
1006,1.357098686,103.902042
1501,1.274143944,103.8513168
1502,1.271350907,103.8618284
1503,1.270664087,103.8569779
1504,1.294098914,103.8760562
1505,1.275297715,103.8663904
1701,1.323604823,103.8587802
1702,1.34355015,103.8601984
1703,1.328147222,103.8622033
1704,1.285693989,103.8375245
1705,1.375925022,103.8587986
1706,1.38861,103.85806
1707,1.280365843,103.8304511
1709,1.313842317,103.845603
1711,1.35296,103.85719
2701,1.447023728,103.7716543
2702,1.445554109,103.7683397
2703,1.350477908,103.7910336
2704,1.429588536,103.769311
2705,1.36728572,103.7794698
2706,1.414142,103.771168
2707,1.3983,103.774247
2708,1.3865,103.7747
3702,1.33831,103.98032
3704,1.295855016,103.8803147
3705,1.32743,103.97383
3793,1.309330837,103.9350504
3795,1.301451452,103.9105963
3796,1.297512569,103.8983019
3797,1.295657333,103.885283
3798,1.29158484,103.8615987
4701,1.2871,103.79633
4702,1.27237,103.8324
4703,1.348697862,103.6350413
4704,1.27877,103.82375
4705,1.32618,103.73028
4706,1.29792,103.78205
4707,1.333446481,103.6527008
4708,1.29939,103.7799
4709,1.312019,103.763002
4710,1.32153,103.75273
4712,1.341244001,103.6439134
4713,1.347645829,103.6366955
4714,1.31023,103.76438
4716,1.32227,103.67453
4798,1.259999997,103.8236111
4799,1.260277774,103.8238889
5794,1.3309693,103.9168616
5795,1.326024822,103.905625
5797,1.322875288,103.8910793
5798,1.320360781,103.8771741
5799,1.328171608,103.8685191
6701,1.329334,103.858222
6703,1.328899,103.84121
6704,1.326574036,103.8268573
6705,1.332124,103.81768
6706,1.349428893,103.7952799
6708,1.345996,103.69016
6710,1.344205,103.78577
6711,1.33771,103.977827
6712,1.332691,103.770278
6713,1.340298,103.945652
6714,1.361742,103.703341
6715,1.356299,103.716071
6716,1.322893,103.6635051
7791,1.354245,103.963782
7793,1.37704704,103.9294698
7794,1.37988658,103.9200917
7795,1.38432741,103.915857
7796,1.39559294,103.9051571
7797,1.40002575,103.8570253
7798,1.39748842,103.8540047
8701,1.38647,103.74143
8702,1.39059,103.7717
8704,1.3899,103.74843
8706,1.3664,103.70899
9701,1.39466333,103.834746
9702,1.39474081,103.8179709
9703,1.422857,103.773005
9704,1.42214311,103.7954206
9705,1.42627712,103.7871664
9706,1.41270056,103.8064271
